Date,Open,High,Low,Close,Adj. Close,Volume
2017-01-13,2272.74,2278.68,2271.51,2274.64,2274.64,3090680000
2017-01-12,2271.14,2271.78,2254.25,2270.44,2270.44,3466220000
2017-01-11,2268.60,2275.32,2260.83,2275.32,2275.32,3625080000
2017-01-10,2269.72,2279.27,2265.27,2268.90,2268.90,3640560000
2017-01-09,2273.59,2275.49,2268.90,2268.90,2268.90,3219730000
2017-01-06,2271.14,2282.10,2264.06,2276.98,2276.98,3342080000
2017-01-05,2268.18,2271.50,2260.45,2269.00,2269.00,3785080000
2017-01-04,2261.60,2272.82,2261.60,2270.75,2270.75,3768890000
2017-01-03,2251.57,2263.88,2245.13,2257.83,2257.83,3773010000
2016-12-30,2251.61,2253.58,2233.62,2238.83,2238.83,2671550000
2016-12-29,2249.50,2254.51,2244.56,2249.26,2249.26,2338700000
2016-12-28,2270.23,2271.31,2249.11,2249.92,2249.92,2402750000
2016-12-27,2266.23,2273.82,2266.15,2268.88,2268.88,1989730000
2016-12-23,2260.25,2263.79,2258.84,2263.79,2263.79,2021230000
2016-12-22,2262.93,2263.18,2256.08,2260.96,2260.96,2880670000
2016-12-21,2270.54,2271.23,2265.15,2265.18,2265.18,2854880000
2016-12-20,2266.50,2272.56,2266.14,2270.76,2270.76,3306250000
2016-12-19,2259.24,2267.47,2258.21,2262.53,2262.53,3252840000
2016-12-16,2266.81,2268.05,2254.24,2258.07,2258.07,5928980000
2016-12-15,2253.77,2272.12,2253.77,2262.03,2262.03,4173360000
2016-12-14,2268.35,2276.20,2248.44,2253.28,2253.28,4409670000
2016-12-13,2263.32,2277.53,2263.32,2271.72,2271.72,3875630000
2016-12-12,2258.83,2264.03,2252.37,2256.96,2256.96,4038850000
2016-12-09,2249.73,2259.80,2249.23,2259.53,2259.53,3886460000
2016-12-08,2241.13,2251.69,2237.57,2246.19,2246.19,4203270000
2016-12-07,2210.72,2241.63,2208.93,2241.35,2241.35,4504070000
2016-12-06,2207.26,2212.78,2202.21,2212.23,2212.23,3857290000
2016-12-05,2200.65,2209.42,2199.97,2204.71,2204.71,3898530000
2016-12-02,2191.12,2197.95,2188.37,2191.95,2191.95,3782370000
2016-12-01,2200.17,2202.60,2187.44,2191.08,2191.08,5067470000
2016-11-30,2204.97,2214.10,2198.81,2198.81,2198.81,5538400000
2016-11-29,2200.76,2210.46,2198.15,2204.66,2204.66,3709190000
2016-11-28,2210.21,2211.14,2200.36,2201.72,2201.72,3515100000
2016-11-25,2206.27,2213.35,2206.27,2213.35,2213.35,1584590000
2016-11-23,2198.55,2204.72,2194.51,2204.72,2204.72,3419850000
2016-11-22,2201.56,2204.80,2194.51,2202.94,2202.94,3960520000
2016-11-21,2186.43,2198.70,2186.43,2198.18,2198.18,3611500000
2016-11-18,2186.85,2189.89,2180.38,2181.90,2181.90,3580900000
2016-11-17,2178.61,2188.06,2176.65,2187.12,2187.12,3811730000
2016-11-16,2177.53,2179.22,2172.20,2176.94,2176.94,3847900000
2016-11-15,2168.29,2180.84,2166.38,2180.39,2180.39,4548110000
2016-11-14,2165.64,2171.36,2156.08,2164.20,2164.20,5373670000
2016-11-11,2162.71,2165.92,2152.49,2164.45,2164.45,4993990000
2016-11-10,2167.49,2182.30,2151.17,2167.48,2167.48,6458450000
2016-11-09,2131.56,2170.10,2125.35,2163.26,2163.26,6267590000
2016-11-08,2129.92,2146.87,2123.56,2139.56,2139.56,3921850000
2016-11-07,2100.59,2132.00,2100.59,2131.52,2131.52,3739720000
2016-11-04,2083.79,2099.07,2083.79,2085.18,2085.18,3841910000
2016-11-03,2098.80,2102.56,2085.23,2088.66,2088.66,3892100000
2016-11-02,2109.43,2111.76,2094.00,2097.94,2097.94,4289120000
2016-11-01,2128.68,2131.45,2097.85,2111.72,2111.72,4539190000
2016-10-31,2129.78,2133.25,2125.53,2126.15,2126.15,3926560000
2016-10-28,2132.23,2140.72,2119.36,2126.41,2126.41,4028270000
2016-10-27,2144.06,2147.13,2132.52,2133.04,2133.04,4209400000
2016-10-26,2136.97,2145.73,2131.59,2139.43,2139.43,3778120000
